section,chunk,category,id,status
audience,book,audience,Người muốn nuôi dạy những đứa trẻ kiên cường và xây dựng mối quan hệ gia đình gắn kết khi phải đối mặt với những hành vi khó khăn và cảm xúc bùng nổ của con trẻ.,PENDING
audience,2,audience,Người muốn kiểm soát những hành vi chống đối của con cái mà không làm tổn thương lòng tự trọng của chúng khi đối mặt với những cơn thịnh nộ hoặc lời nói gây tổn thương từ trẻ.,PENDING
audience,3,audience,"Người làm cha mẹ muốn thiết lập ranh giới kỷ luật với con cái khi trẻ phản kháng, tức giận hoặc có thái độ thô lỗ.",PENDING
audience,4,audience,Người làm cha mẹ muốn duy trì ranh giới an toàn và sự kết nối khi con cái phản kháng và bùng nổ cảm xúc.,PENDING
audience,5,audience,Người làm cha mẹ muốn xây dựng nền tảng tâm lý và cảm xúc vững chắc cho con khi đang cảm thấy kiệt sức và hoài nghi về ý nghĩa của việc nuôi dạy trẻ ở độ tuổi quá nhỏ.,PENDING
audience,6,audience,Người muốn hàn gắn tổn thương và sửa chữa những sai lầm nuôi dạy con khi nhận ra bản thân đã có những phản ứng độc hại với con cái.,PENDING
audience,7,audience,Người muốn trang bị năng lực đối mặt với khó khăn cho con khi trẻ gặp thất bại hoặc bộc lộ những cảm xúc tiêu cực.,PENDING
audience,8,audience,"Cha mẹ muốn thấu hiểu nguyên nhân gốc rễ đằng sau hành vi chống đối của con khi trẻ liên tục có những hành vi tồi tệ, mất kiểm soát.",PENDING
audience,9,audience,Người muốn phá vỡ sự kháng cự bướng bỉnh và thái độ xa lánh của con khi trẻ vừa làm sai một việc gì đó,PENDING
audience,10,audience,"Người làm cha mẹ muốn giải thích những vấn đề phức tạp, nhạy cảm khi con cái đặt câu hỏi khó hoặc chứng kiến sự kiện gây bối rối.",PENDING
audience,11,audience,Người muốn phục hồi sức khỏe tinh thần và bảo vệ bản sắc cá nhân khi đang gánh vác trách nhiệm nuôi dạy con cái mỗi ngày.,PENDING
audience,12,audience,Người muốn tái lập sự gắn kết và loại bỏ các hành vi chống đối của con khi đang mắc kẹt trong vòng lặp la mắng và đe dọa vô ích hàng ngày.,PENDING
audience,13,audience,Người làm cha mẹ muốn con cái hợp tác thực hiện các yêu cầu khi trẻ đang phớt lờ lời nói của họ.,PENDING
audience,14,audience,"Người làm cha mẹ muốn giúp con xây dựng kỹ năng điều chỉnh cảm xúc khi trẻ bùng nổ, ăn vạ do những mong muốn bị từ chối.",PENDING
audience,15,audience,Người muốn ngăn chặn và kiểm soát hành vi bạo lực của con khi trẻ đang trong cơn khủng hoảng mất bình tĩnh.,PENDING
audience,16,audience,"Người muốn giảm bớt xung đột và xây dựng mối quan hệ hòa thuận giữa các con khi chúng tranh cãi, đánh nhau hoặc ghen tị tranh giành sự chú ý.",PENDING
audience,17,audience,"Người muốn phản hồi lại thái độ chống đối của con một cách hiệu quả khi con la hét, cãi lời hoặc buông những lời tổn thương.",PENDING
audience,18,audience,Người muốn dập tắt tiếng rên rỉ đòi hỏi của con khi cảm thấy mất kiên nhẫn và căng thẳng tột độ.,PENDING
audience,19,audience,Phụ huynh muốn khuyến khích con cái nói sự thật khi phát hiện trẻ có hành vi che giấu hoặc phủ nhận lỗi lầm.,PENDING
audience,20,audience,Người làm cha mẹ muốn giúp con kiểm soát nỗi sợ hãi khi con hoảng loạn trước một tình huống hoặc sự vật cụ thể.,PENDING
audience,21,audience,"Người muốn giúp con cái xử lý sự nhút nhát khi chúng ngập ngừng, trốn tránh trong các tình huống xã hội hoặc đám đông.",PENDING
audience,22,audience,Người muốn giúp con phát triển khả năng chịu đựng sự thất vọng khi con dễ dàng bỏ cuộc hoặc nổi cáu trước những thử thách khó khăn.,PENDING
audience,23,audience,"Người muốn thiết lập ranh giới và thói quen ăn uống lành mạnh khi trẻ có biểu hiện kén ăn, đòi đồ ăn vặt hoặc phản kháng trong bữa ăn.",PENDING
audience,24,audience,Người làm cha mẹ muốn dạy con cách thiết lập ranh giới cơ thể và tin tưởng vào bản thân khi đối mặt với áp lực phải làm hài lòng người khác.,PENDING
audience,25,audience,Người làm cha mẹ muốn giải mã nguyên nhân thực sự đằng sau những tiếng khóc của con khi trẻ bất ngờ rơi nước mắt hoặc có biểu hiện khóc lóc thái quá.,PENDING
audience,26,audience,"Người cha mẹ muốn xây dựng sự tự tin thực sự cho con khi trẻ cảm thấy thất vọng, tự ti hoặc nghi ngờ bản thân.",PENDING
audience,27,audience,"Cha mẹ muốn giúp con vượt qua sự sợ hãi khi mắc sai lầm khi con thể hiện thái độ cứng nhắc, cáu gắt hoặc sụp đổ ngay khi không đạt được kết quả hoàn hảo.",PENDING
audience,28,audience,"Người muốn giúp con tách rời khỏi cha mẹ một cách bình an khi trẻ khóc lóc, bám víu lúc đi học hoặc khi cha mẹ vắng mặt.",PENDING
audience,29,audience,"Người muốn giúp con tự đi vào giấc ngủ và ngủ xuyên đêm khi trẻ liên tục quấy khóc, chống đối và đòi ngủ cùng cha mẹ.",PENDING
audience,30,audience,Người muốn xoa dịu và điều chỉnh cảm xúc của con khi trẻ bùng nổ dữ dội và cự tuyệt sự giúp đỡ.,PENDING
audience,31,audience,Người muốn thấu hiểu bản chất sự thay đổi của loài người khi chiêm nghiệm lại ý nghĩa của tuổi thơ.,PENDING
vivid,2,vivid_circumstance,Người muốn kiểm soát những hành vi chống đối của con cái mà không làm tổn thương lòng tự trọng của chúng khi đối mặt với những cơn thịnh nộ hoặc lời nói gây tổn thương từ trẻ.,CAP_RESERVED
atom,2,insight,Đánh đồng hành vi với bản chất con người,DONE
vivid,2,vivid_insight,Đánh đồng hành vi với bản chất con người,DONE
atom,2,knowledge,"Niềm tin ""Tốt đẹp ở bên trong"" (Good Inside)",DONE
vivid,2,vivid_knowledge,"Niềm tin ""Tốt đẹp ở bên trong"" (Good Inside)",DONE
atom,2,knowledge,Góc nhìn Bao dung nhất (The Most Generous Interpretation - MGI),DONE
atom,2,knowledge,Người phá vỡ vòng lặp (Cycle-breaker),DONE
vivid,2,vivid_knowledge,Người phá vỡ vòng lặp (Cycle-breaker),DONE
atom,2,evidence,unknown,DONE
atom,2,story,Đứa con út (younger son)-unknown,DONE
atom,2,quote,unknown,DONE
atom,2,quote,unknown,DONE
vivid,3,vivid_circumstance,"Người làm cha mẹ muốn thiết lập ranh giới kỷ luật với con cái khi trẻ phản kháng, tức giận hoặc có thái độ thô lỗ.",DONE
atom,3,insight,Sự giằng xé giữa kỷ luật và kết nối,DONE
vivid,3,vivid_insight,Sự giằng xé giữa kỷ luật và kết nối,DONE
atom,3,knowledge,"Nguyên tắc ""Hai điều đều đúng"" (Multiplicity)",DONE
atom,3,knowledge,Thoát khỏi cuộc chiến quyền lực (Power Struggle),DONE
vivid,3,vivid_knowledge,Thoát khỏi cuộc chiến quyền lực (Power Struggle),DONE
atom,3,knowledge,Chữa lành cảm giác tội lỗi của cha mẹ,DONE
atom,3,story,Sara-unknown,DONE
atom,3,quote,unknown,DONE
vivid,4,vivid_circumstance,Người làm cha mẹ muốn duy trì ranh giới an toàn và sự kết nối khi con cái phản kháng và bùng nổ cảm xúc.,DONE
atom,4,insight,Vòng lặp tự trách và sợ hãi phản ứng của con,DONE
atom,4,knowledge,Định nghĩa vai trò trong hệ thống gia đình (Family System Roles),DONE
vivid,4,vivid_knowledge,Định nghĩa vai trò trong hệ thống gia đình (Family System Roles),DONE
atom,4,knowledge,Khung giao tiếp Ranh giới + Xác thực + Thấu cảm,DONE
atom,4,knowledge,"Lăng kính ""Hoàn thành công việc"" (Job Fulfillment)",DONE
atom,4,evidence,unknown,DONE
atom,4,story,Tác giả (Dr. Becky) và con trai-unknown,DONE
atom,4,quote,unknown,DONE
atom,4,quote,unknown,DONE
