section,chunk,category,id,status
audience,book,audience,"""Người"" muốn thiết lập nền tảng phát triển cho con trẻ khi trẻ đang trong độ tuổi từ sơ sinh đến bảy tuổi. *Căn cứ:* ""Young children trust the world completely and absorb each and every impression with great openness. The responsibility of adults is to understand children's developmental needs — physical, emotional, intellectual, and spiritual — and establish a healthy foundation for the rest of life.""",PENDING
audience,1,audience,"""Người"" muốn thiết lập các thói quen sinh hoạt nề nếp cho con khi lo sợ rằng sự thiếu ổn định và mất nhất quán trong nếp sống gia đình hiện đại sẽ ảnh hưởng tiêu cực đến sự phát triển lâu dài của trẻ dưới bảy tuổi.",PENDING
audience,2,audience,"""Người"" muốn uốn nắn hành vi của con khi con trẻ dưới bảy tuổi bộc lộ tính khí nhạy cảm dễ phản kháng bướng bỉnh khiến các nỗ lực kiểm soát thông thường thất bại.",PENDING
audience,3,audience,"""Người"" muốn thiết lập một chương trình giáo dục mầm non quy mô gia đình khi các cơ sở mầm non truyền thống thiếu đi sự bảo bọc cảm quan và không gian sinh hoạt ấm áp của một mái ấm thực tế cho con trẻ dưới bảy tuổi.",PENDING
audience,4,audience,"""Người"" muốn bảo vệ môi trường cảm quan của con khi con trẻ dưới bảy tuổi tiếp nhận vô điều kiện các kích thích nhân tạo từ môi trường hiện đại mà không có màng lọc tự thân.",PENDING
audience,5,audience,"""Người"" muốn hỗ trợ con làm chủ các mốc vận động thể chất đầu đời khi con trẻ dưới ba tuổi đang tập lẫy, bò, đứng và đi.",PENDING
audience,6,audience,"""Người"" muốn bảo vệ thân nhiệt của con khi con trẻ dưới bảy tuổi chưa thể tự điều hòa hệ thống sinh lý trước sự thay đổi nhiệt độ của môi trường xung quanh.",PENDING
audience,7,audience,"""Người"" muốn thiết lập một trình tự sinh hoạt ổn định cho con khi con trẻ dưới bảy tuổi dễ rơi vào trạng thái bồn chồn, rối loạn nhịp sinh học và phản kháng trước những thay đổi đột ngột trong nếp sinh hoạt thường nhật.",PENDING
audience,8,audience,"""Người"" muốn thiết lập không gian chơi phù hợp cho con khi con trẻ dưới hai tuổi rưỡi đang ở giai đoạn khám phá các bộ phận cơ thể và bắt đầu thao tác với các đồ vật xung quanh. [7, 8]",PENDING
audience,9,audience,"""Người"" muốn thiết lập không gian chơi giả vờ cho con khi con trẻ từ hai tuổi rưỡi đến năm tuổi bắt đầu bộc lộ khả năng tưởng tượng và tự ý biến đổi công năng của các vật dụng sinh hoạt xung quanh [1].",PENDING
audience,10,audience,"""Người"" muốn hỗ trợ con thực hiện các trò chơi có kế hoạch khi con trẻ từ năm đến bảy tuổi bắt đầu bộc lộ nhu cầu tạo ra các sản phẩm có mục đích rõ rệt [5].",PENDING
audience,11,audience,"""Người"" muốn thiết lập một không gian chơi có khả năng biến đổi linh hoạt cho con khi con trẻ dưới bảy tuổi dễ rơi vào trạng thái thụ động và suy giảm khả năng tự định hình trò chơi trước sự bủa vây của các loại đồ chơi công nghiệp có công năng cố định.",PENDING
audience,12,audience,"""Người"" muốn bảo vệ bốn giác quan thể chất nền tảng của con khi con trẻ dưới bảy tuổi hoạt động hoàn toàn như một cơ quan cảm quan mở không có màng lọc tự vệ trước các kích thích từ môi trường xung quanh [1, 3, 4].",PENDING
audience,13,audience,"""Người"" muốn thiết lập một môi trường cảm quan hài hòa cho con khi con trẻ dưới bảy tuổi dễ rơi vào trạng thái khép kín lòng tin cậy và phản ứng bất an trước các mùi hương hóa học, màu sắc sặc sỡ quá đà hay thái độ lạnh lùng từ người lớn xung quanh.",PENDING
audience,14,audience,"""Người"" muốn bảo vệ các giác quan nhận thức của con khi con trẻ dưới bất kỳ hình thức nào dưới bảy tuổi vô thức đồng hóa mọi hành vi ứng xử của người lớn xung quanh.",PENDING
audience,15,audience,"""Người"" muốn rèn luyện tính tự kỷ luật của bản thân khi các mệnh lệnh bằng lời nói hoàn toàn vô hiệu trước xu hướng bắt chước vô thức mọi hành vi của người lớn ở trẻ dưới bảy tuổi.",PENDING
audience,16,audience,"""Người"" muốn cải tạo cấu trúc không gian vật lý cho con khi con trẻ dưới bảy tuổi bộc lộ hành vi lệch khỏi khuôn mẫu sinh hoạt chung do sự thiếu trật tự của không gian xung quanh.",PENDING
audience,17,audience,"""Người"" muốn thiết lập các ranh giới giao tiếp rõ ràng cho con khi con trẻ dưới bảy tuổi bộc lộ xu hướng vị kỷ trước các quyết định sinh hoạt vượt quá năng lực nhận thức.",PENDING
audience,18,audience,"""Người"" muốn điều hướng năng lượng hoạt động của con khi con trẻ dưới bảy tuổi bộc lộ hành vi chưa phù hợp do thiếu định hướng giới hạn hành động.",PENDING
audience,19,audience,"""Người"" muốn thiết lập chu trình nhịp điệu sinh hoạt cho con khi con trẻ dưới bảy tuổi bộc lộ hành vi chống đối trong các khoảnh khắc chuyển tiếp giữa các hoạt động.",PENDING
audience,20,audience,"""Người"" muốn hóa giải hành vi thô bạo của con khi con trẻ dưới bảy tuổi bộc phát các phản ứng vật lý gây thương tích cho người đối diện.**",PENDING
audience,21,audience,"""Người"" muốn giữ vững sự nhất quán đối với các chỉ dẫn sinh hoạt đã đề ra cho con khi con trẻ dưới bất kỳ hình thức nào dưới bảy tuổi bộc lộ sự bướng bỉnh hòng trốn tránh thực hiện các nhiệm vụ được yêu cầu.",PENDING
audience,22,audience,"""Người"" muốn xây dựng lòng tự trọng cho con khi con trẻ dưới bảy tuổi bộc lộ hành vi phản kháng trước sự phê bình từ người xung quanh.",PENDING
audience,23,audience,"""Người"" muốn tháo gỡ các trở ngại hành vi phức tạp của con khi con trẻ dưới bảy tuổi bộc lộ những khó khăn hành vi khó thấu hiểu bằng lý trí thông thường.",PENDING
audience,24,audience,"""Người"" muốn tái thiết lập sự tự tin trong hành trình nuôi dạy con khi cha mẹ rơi vào trạng thái kiệt quệ năng lượng trước các áp lực chăm sóc con trẻ liên tục.",PENDING
audience,25,audience,"""Người"" muốn kiến tạo không gian sinh hoạt nhóm ôn hòa cho con khi con trẻ dưới bảy tuổi bộc lộ trạng thái quá tải cảm giác trước các lớp học nhóm tập trung quá đông người.",PENDING
audience,26,audience,"""Người"" muốn truyền đạt các chỉ dẫn sinh hoạt thường nhật cho con khi con trẻ dưới bảy tuổi bộc lộ phản ứng thờ ơ trước các mệnh lệnh lời nói trực tiếp.",PENDING
audience,27,audience,"""Người"" muốn xây dựng cảm giác thuộc về thế giới của con khi con trẻ dưới bảy tuổi bộc lộ sự băn khoăn về nguồn gốc ra đời của bản thân.",PENDING
audience,28,audience,"""Người"" muốn xây dựng nhận thức về trật tự đạo đức cho con khi con trẻ dưới bảy tuổi bộc lộ sự hoang mang trước các hình ảnh xung đột từ môi trường xung quanh.",PENDING
audience,29,audience,"""Người"" muốn kích hoạt trí tưởng tượng sáng tạo của con trong hoạt động chơi khi con trẻ dưới bảy tuổi bộc lộ phản ứng nhanh chán trước các món đồ chơi công nghiệp hoàn thiện quá mức.",PENDING
vivid,1,vivid_circumstance,"""Người"" muốn thiết lập các thói quen sinh hoạt nề nếp cho con khi lo sợ rằng sự thiếu ổn định và mất nhất quán trong nếp sống gia đình hiện đại sẽ ảnh hưởng tiêu cực đến sự phát triển lâu dài của trẻ dưới bảy tuổi.",PENDING
atom,1,insight,"Nỗi lo sợ rằng nhịp sống hỗn loạn và sự thiếu nhất quán trong sinh hoạt gia đình sẽ làm suy giảm cảm giác an toàn của con, khiến trẻ khó hình thành nề nếp và bỏ lỡ cơ hội bồi đắp những thói quen tốt từ những năm tháng đầu đời.",PENDING
atom,1,knowledge,Sức mạnh định hình nhân cách từ các nhịp điệu sinh hoạt gia đình và thói quen tốt trong thời thơ ấu,PENDING
vivid,1,vivid_knowledge,Sức mạnh định hình nhân cách từ các nhịp điệu sinh hoạt gia đình và thói quen tốt trong thời thơ ấu,PENDING
atom,1,knowledge,Giá trị bồi đắp ý chí và năng lực mô phỏng thông qua trò chơi búp bê có sự đồng hành gián tiếp của cha mẹ,PENDING
vivid,1,vivid_knowledge,Giá trị bồi đắp ý chí và năng lực mô phỏng thông qua trò chơi búp bê có sự đồng hành gián tiếp của cha mẹ,PENDING
atom,1,knowledge,Quy tắc xây dựng không gian gia đình gắn kết và hỗ trợ trị liệu thông qua tình yêu thương kiên trì của người cha,PENDING
vivid,1,vivid_knowledge,Quy tắc xây dựng không gian gia đình gắn kết và hỗ trợ trị liệu thông qua tình yêu thương kiên trì của người cha,PENDING
atom,1,evidence,household-chaos-and-early-childhood-self-regulation-development,PENDING
atom,1,story,Tác giả Barbara J. Patterson và cha mẹ của bà-su_dung_nhip_dieu_va_thoi_quan_tot_thoi_tho_au_lam_nen_tang_su_pham_vung_chac,PENDING
atom,1,quote,rhythms-and-good-habits-during-childhood-influenced-adult-life,PENDING
atom,1,quote,gift-of-solid-happy-childhood-with-good-role-models-to-imitate,PENDING
atom,1,quote,did-not-have-to-learn-rhythm-good-habits-had-them-inside,PENDING
vivid,2,vivid_circumstance,"""Người"" muốn uốn nắn hành vi của con khi con trẻ dưới bảy tuổi bộc lộ tính khí nhạy cảm dễ phản kháng bướng bỉnh khiến các nỗ lực kiểm soát thông thường thất bại.",PENDING
